yearweek,tavg,tmin,tmax,prcp,snow,wspd,rain_days_count,region
201410,1.885714285714286,-8.8,15.6,13.200000000000001,97.0,16.557142857142857,3,Boston
201411,1.442857142857143,-8.8,13.9,7.7,8.0,19.900000000000002,2,Boston
201412,1.2285714285714284,-8.2,15.6,0.5,0.0,24.014285714285712,1,Boston
201413,5.1571428571428575,1.1,12.2,99.0,0.0,18.157142857142855,4,Boston
201414,9.328571428571427,1.1,20.6,23.8,0.0,18.442857142857143,3,Boston
201415,10.042857142857143,-0.5,23.9,26.799999999999997,3.0,22.771428571428572,4,Boston
201416,10.257142857142858,2.2,22.8,7.1,0.0,20.37142857142857,2,Boston
201417,8.357142857142858,5.0,20.6,33.8,0.0,16.62857142857143,5,Boston
201418,13.314285714285715,8.3,20.6,0.0,0.0,15.785714285714286,0,Boston
201419,17.185714285714287,7.8,29.4,10.1,0.0,17.62857142857143,2,Boston
201420,14.799999999999999,10.6,23.9,24.7,0.0,15.62857142857143,4,Boston
201421,13.671428571428573,6.1,26.1,21.9,0.0,15.9,5,Boston
201422,16.257142857142856,10.6,28.3,23.400000000000002,0.0,14.142857142857142,2,Boston
201423,19.38571428571429,14.4,27.2,35.3,0.0,15.271428571428572,2,Boston
201424,21.88571428571429,14.4,30.6,0.8,0.0,17.885714285714286,2,Boston
201425,20.385714285714283,13.9,31.7,7.1,0.0,15.642857142857142,1,Boston
201426,24.52857142857143,15.0,33.3,54.9,0.0,17.485714285714288,2,Boston
201427,24.085714285714285,15.0,33.3,10.9,0.0,20.728571428571428,2,Boston
201428,23.12857142857143,16.7,30.0,38.6,0.0,15.62857142857143,2,Boston
201429,21.5,16.1,33.3,0.0,0.0,12.87142857142857,0,Boston
201430,22.24285714285714,16.7,29.4,11.7,0.0,15.271428571428572,2,Boston
201431,21.614285714285717,16.1,29.4,1.4,0.0,11.942857142857141,3,Boston
201432,21.442857142857143,15.6,28.9,26.9,0.0,15.37142857142857,1,Boston
201433,20.014285714285712,15.0,27.2,2.0,0.0,13.585714285714285,1,Boston
201434,21.985714285714288,15.0,32.8,0.5,0.0,15.542857142857143,1,Boston
201435,24.099999999999998,14.4,33.9,14.0,0.0,16.614285714285714,2,Boston
201436,20.157142857142855,13.3,33.3,9.399999999999999,0.0,16.442857142857143,2,Boston
201437,15.057142857142855,7.8,23.9,3.3,0.0,12.914285714285715,1,Boston
201438,16.728571428571428,8.3,27.8,0.3,0.0,14.414285714285713,1,Boston
201439,16.271428571428572,8.9,30.6,38.5,0.0,15.357142857142858,4,Boston
201440,14.928571428571429,6.1,22.8,9.5,0.0,17.37142857142857,3,Boston
201441,15.6,6.7,27.2,23.9,0.0,14.571428571428571,2,Boston
201442,11.62857142857143,3.9,21.7,80.60000000000001,0.0,24.02857142857143,3,Boston
201443,12.114285714285714,7.2,23.3,0.5,0.0,14.6,1,Boston
201444,8.614285714285714,1.1,18.9,37.9,0.0,20.014285714285712,3,Boston
201445,7.871428571428572,0.6,17.2,7.3,10.0,12.028571428571428,2,Boston
201446,2.0142857142857142,-4.3,8.9,41.7,0.0,18.885714285714283,1,Boston
